global_step,episode_num,episode_reward,episode_length,success_rate,avg_reward_100,policy_loss,value_loss,entropy,learning_rate,fps,eta_seconds,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,ee_to_cube_dist,cube_to_goal_dist,is_grasped,timestamp
5008,17,13.641532,88,0.9411764705882353,27.718004352941175,,,,,4131.492607693302,482.87439660066235,0.17718704547455902,0.1001553847863807,0.8067396337309655,0.18557443697844261,0.12893432177924344,0.8038532469989095,0.03011489297748825,0.38977424040673136,False,2026-08-07T12:25:15.470778+00:00
10016,28,-161.016367,600,0.6071428571428571,-90.23633657142857,0.01410718438019103,82.55172550976276,-0.2835370659828186,0.0003,657.3393891168454,3027.3311366197017,0.08849116139230993,-0.15018587151227542,0.829744914088716,0.1757924873040394,-0.08442494039025968,0.8028786480032114,0.11255140079695872,0.17628387394260464,False,2026-08-07T12:25:23.089335+00:00
15024,47,-21.377107,52,0.5957446808510638,-71.36076991489361,0.01410718438019103,82.55172550976276,-0.2835370659828186,0.0003,4543.453131543155,436.88708621625324,0.14260958775820226,-0.055608282835187255,0.8775445088464078,0.18638185684164704,-0.08618408114268405,0.8028786480032128,0.09179260187133585,0.1758066438409715,False,2026-08-07T12:25:24.191586+00:00
20032,61,34.70796,30,0.5737704918032787,-91.01207245901641,0.008992715189378941,48.47510944232344,-0.2354413179680705,0.0003,661.5908793823469,2992.7377503276252,0.16074968977501683,-0.037987686270181245,0.8721405933064987,0.1620730021538411,-0.02206061807065425,0.8028808839825629,0.07107974389881005,0.23794841207885567,False,2026-08-07T12:25:31.761216+00:00
25040,83,27.931627,27,0.5783132530120482,-86.29224934939758,0.009341807580494788,26.421403100714087,-0.16368706952780485,0.0003,663.774858983498,2975.34619347356,0.14077877769292324,-0.060699818756237756,0.801070258301814,0.18596522584686184,-0.024277418907763484,0.8028134061588539,0.05806414446060686,0.23714832529466567,False,2026-08-07T12:25:39.305953+00:00
30048,103,22.715302,72,0.53,-87.81073356,0.009341807580494788,26.421403100714087,-0.16368706952780485,0.0003,4925.022786092282,399.9884032136716,0.09711060397592604,-0.11302802648578936,0.8340071580505053,0.049071663024641506,-0.0820507709028027,0.792887627484919,0.07041410373716947,0.2096926896208008,False,2026-08-07T12:25:40.322790+00:00
35056,115,-138.893541,600,0.48,-98.1933287,0.00791354619395861,22.470750827342272,-0.15689477538689972,0.0003,650.3952451368303,3021.1536979896196,0.05511116680724917,-0.07827555116267249,0.8177916164895971,0.04767817317112828,-0.08238493320313128,0.7911551422318497,0.027957792760386128,0.2101506715083994,True,2026-08-07T12:25:48.022711+00:00
40064,130,34.146623,28,0.49,-90.20682244999998,0.00791354619395861,22.470750827342272,-0.15689477538689972,0.0003,4897.8964028045575,400.1587291388466,0.1763111707008512,0.09791713587777993,0.8068493899428013,0.18803098455069014,0.12809307394043185,0.8034709107466282,0.03254774026433871,0.38910406080560833,False,2026-08-07T12:25:49.045194+00:00
45072,146,37.042614,25,0.49,-97.44416679000001,0.006198792358190985,15.503376256488263,-0.1167284962721169,0.0003,666.8029927777286,2931.7924801991007,0.17862245531765863,0.10462825333080858,0.8068050399806299,0.1837932157742123,0.1279057227314918,0.8303319663459275,0.033497665733554324,0.3886347473460386,False,2026-08-07T12:25:56.555667+00:00
50080,157,-144.626154,600,0.47,-95.61274134000001,0.006579356835936778,12.399759814795107,-0.059790377598255874,0.0003,654.9259056154249,2977.313896550919,0.16057371534109233,-0.060975428196731955,0.8325053426792162,0.1346593986643963,-0.04259747909582044,0.8028967211661485,0.043427770952235996,0.2188743981637465,False,2026-08-07T12:26:04.202325+00:00
55088,175,-136.944747,600,0.48,-98.18404744,0.006579356835936778,12.399759814795107,-0.059790377598255874,0.0003,4473.5517088992165,434.7579119586335,0.13361815472208316,-0.017878439143351216,0.845088954173233,0.13924161094765963,-0.05118281940358886,0.8028967213242878,0.054046179487722314,0.20984643344189224,False,2026-08-07T12:26:05.321801+00:00
60096,186,20.727555,74,0.46,-110.86699747000003,0.0014046951833734055,22.439745758473872,-0.02404017811641097,0.0003,654.6636926766129,2963.2069438105573,0.14422769970250912,-0.03417775307740539,0.8009312412928086,0.17975182385154204,-0.0778349874265571,0.8028818349016927,0.05631804615751221,0.1832327109206895,False,2026-08-07T12:26:12.971524+00:00
65104,200,-163.272633,600,0.45,-128.55306281,0.0014046951833734055,22.439745758473872,-0.02404017811641097,0.0003,4759.047467053823,406.57211624700045,0.15542267777756605,-0.008861971747365131,0.8263320951457838,0.1864370058812208,-0.08595418240742791,0.8028818349709542,0.08634241248913446,0.17604221624778127,False,2026-08-07T12:26:14.023845+00:00
70112,217,16.053589,60,0.45,-128.78527336,0.00183698320070107,24.129187170788647,0.004630048107355833,0.0003,653.0635234083969,2955.1305972928053,0.18213806156525258,-0.07825372147384486,0.8123909717495326,0.18347850101102342,-0.07882236381375217,0.7969649706678089,0.015494568125373902,0.18269257199941383,True,2026-08-07T12:26:21.692354+00:00
75120,235,34.283375,30,0.47,-132.05685818,0.0019546644360161737,23.474292154610158,0.03499887073412537,0.0003,721.121575482846,2669.286380332118,0.18212491577946935,-0.07826608472471702,0.8111490380834138,0.18428056081608293,-0.07799205376701607,0.7960733935415956,0.015231446314808984,0.18362036413614985,True,2026-08-07T12:26:28.637064+00:00
80128,251,34.101982,34,0.45,-132.45348352,0.0019546644360161737,23.474292154610158,0.03499887073412537,0.0003,4651.40998496186,412.7505436431105,0.21260907501022494,0.11692038569261534,0.8410811405150188,0.16645534204884038,0.10970260546160383,0.8029047009827727,0.060329959001255935,0.3697589592235269,False,2026-08-07T12:26:29.713710+00:00
85136,267,-190.928039,600,0.46,-124.03769249000001,0.004539886298152851,13.632420278154314,0.07819490032270551,0.0003,687.4597808652393,2785.419675882632,0.21328473035492254,0.116566198599508,0.8411465885988081,0.16645534305514217,0.10970260319568564,0.8029047009827727,0.06084852032036346,0.36975895697552236,False,2026-08-07T12:26:36.998590+00:00
90144,287,-136.70568,600,0.46,-105.49022068999997,0.006000848752228194,10.735578529350459,0.10081291748210788,0.0003,662.3242492176845,2883.5664740583766,0.14422783263569555,0.008809559800157046,0.8001332885698598,0.18024222218458877,0.02495534542583773,0.8028935008314042,0.0395643958601499,0.28567340871304203,False,2026-08-07T12:26:44.559759+00:00
95152,308,25.900714,62,0.5,-81.22771892,0.006000848752228194,10.735578529350459,0.10081291748210788,0.0003,4732.661224670044,402.4898275140756,0.17432715317765135,0.09196166784519957,0.8072371553267597,0.18697783500115084,0.02986028003499194,0.8028935008317152,0.06352550238231529,0.29111301160084424,False,2026-08-07T12:26:45.617943+00:00
100160,324,36.621058,25,0.51,-81.01968693,0.007703190600295784,12.244180906377732,0.13128168536350132,0.0003,636.5648600471429,2984.519126392401,0.1750518393027027,0.09347976309098331,0.8070304379394883,0.1834036154848759,0.12360326386951105,0.8034638345564464,0.03146264649140314,0.3843165274472406,False,2026-08-07T12:26:53.485195+00:00
105168,342,-141.482103,600,0.49,-68.70776537,0.007703190600295784,12.244180906377732,0.13128168536350132,0.0003,4055.59347129961,467.2144812859666,0.17862362470062185,0.10463091880940191,0.8068052773469249,0.1867155591689948,0.12627228263433035,0.8306174365593766,0.033179013819016875,0.3871950379760154,False,2026-08-07T12:26:54.720024+00:00
110176,357,-161.987726,600,0.51,-76.92391443000001,0.0017428150291380006,15.095624354295433,0.16170938899740578,0.0003,683.5951330802537,2764.5369437967247,0.17819354153665984,0.10328041113909597,0.8068399167561429,0.1796331234883982,0.12856818129079375,0.8312557500632648,0.03518062864023372,0.3890638650010379,False,2026-08-07T12:27:02.046011+00:00
115184,375,-135.265144,600,0.5,-89.79185694000002,0.0034786241405527106,15.282482046633959,0.194113137293607,0.0003,713.3369192607349,2642.252137956528,0.1786266413338752,0.10463777471513591,0.8068073412300903,0.18373644617898827,0.12792470214088755,0.8304012004900259,0.03354193329647249,0.3886502198742519,False,2026-08-07T12:27:09.066518+00:00
120192,389,21.759083,73,0.52,-87.71495164,0.0034786241405527106,15.282482046633959,0.194113137293607,0.0003,4642.89088327785,404.8787807549912,0.11239396176305703,-0.1695713233310313,0.8641497010214729,0.16571864099970451,-0.07904341039475479,0.8028849748069623,0.12162315204938716,0.18104692810551812,False,2026-08-07T12:27:10.145167+00:00
125200,409,34.802812,30,0.51,-94.03127161,0.0008209348816308193,28.420011153444648,0.21566267032176256,0.0003,723.807169907454,2590.1926340957802,0.19715596943668426,-0.046382578731034366,0.8828671191418446,0.17964497217005793,-0.07608246518808974,0.8028709566444319,0.08710972560596339,0.1849637384539266,False,2026-08-07T12:27:17.064127+00:00
130208,427,27.666427,55,0.53,-91.7615607,0.0008209348816308193,28.420011153444648,0.21566267032176256,0.0003,4476.797235797968,417.66287404051224,0.185504368492994,0.051286468221403154,0.8421547019067129,0.1383040541835569,0.09167671552617274,0.8028788334544531,0.07349718083660978,0.3523453225291158,False,2026-08-07T12:27:18.182808+00:00
135216,448,-141.987056,600,0.55,-95.42411234000001,0.0033514063914481087,15.205291370674967,0.24847191041335465,0.0003,725.9020110749342,2568.9197323459407,0.17864131409652406,0.10467096505455158,0.8068153981318554,0.1369264194253043,0.10449220181068813,0.8028788334544531,0.04190060781406024,0.3652217891930058,False,2026-08-07T12:27:25.081815+00:00
140224,460,31.672077,43,0.56,-81.45249204,0.0011859200416438399,28.90059817098081,0.27512546461075543,0.0003,726.2184585996096,2560.904336673383,0.14978019771894507,-0.12420541067484372,0.8809935213472526,0.16302396039600753,-0.02443164891573973,0.8028825497398343,0.12740300102769833,0.23558775937861018,False,2026-08-07T12:27:31.977810+00:00
145232,482,-197.566215,600,0.54,-94.14469021999999,0.0011859200416438399,28.90059817098081,0.27512546461075543,0.0003,4085.2630433302797,454.01433893666865,0.11234982274562477,-0.03241603922096487,0.8403740083096436,0.13450584105558497,0.016801473312870244,0.802882549739834,0.06571805043563952,0.27797303424695485,False,2026-08-07T12:27:33.203677+00:00
150240,494,-264.635653,600,0.54,-94.01740515,0.0016853819746756927,26.886958103626966,0.3248445959761739,0.0003,705.424418566772,2622.194456718981,0.1591346777345415,-0.07815573446611687,0.8009215574999611,0.16263077190782102,0.03972406288149023,0.8028963552783344,0.11794816286592523,0.29973560821333606,False,2026-08-07T12:27:40.302940+00:00
155248,511,-194.917031,600,0.52,-97.06087044000002,0.0016853819746756927,26.886958103626966,0.3248445959761739,0.0003,4471.587992897427,412.54963626572123,0.1786348480972974,0.10465081611420778,0.8068159792602522,0.143726230036049,0.12700138803983402,0.8028963288116456,0.04163560183290222,0.38734340052929495,False,2026-08-07T12:27:41.422895+00:00
160256,525,33.210546,35,0.5,-102.05868905000001,0.0017974897175008664,21.390730093047022,0.37423641765490173,0.0003,728.6501891361746,2524.8658786200867,0.1458778420270449,-0.3426407093735655,0.8100575954584,0.18472663499155415,-0.3512851728891451,0.8029065969129867,0.04043627386973227,0.09457478135003361,False,2026-08-07T12:27:48.295886+00:00
165264,541,34.719342,28,0.48,-108.5468113,-7.769320982333738e-05,14.742019902542234,0.4019972969777882,0.0003,746.749462550265,2456.9632681543453,0.08515861539410652,-0.06062926514897849,0.8168919176232529,0.18538105459490586,-0.08347324675791219,0.8028819234709048,0.10374326364278333,0.1783420661048384,False,2026-08-07T12:27:55.002283+00:00
170272,560,33.993921,30,0.49,-121.60349173,-7.769320982333738e-05,14.742019902542234,0.4019972969777882,0.0003,4431.107218491733,412.92794549503265,0.1443720998224592,-0.22940636602564918,0.8000068797396904,0.144190275349381,-0.229170077804532,0.8075815621416925,0.007580547853133647,0.0346472437014404,True,2026-08-07T12:27:56.132489+00:00
175280,578,21.744754,77,0.55,-96.08602615999999,0.0009348675412184093,16.269488904625177,0.4157461592927575,0.0003,705.0560794348507,2588.0494519849176,0.1782904675714732,0.1035782990853592,0.8068436204917189,0.14632245099201655,0.12156699174598187,0.8028991803848142,0.03689316678491715,0.38181205394401047,False,2026-08-07T12:28:03.235454+00:00
180288,586,-140.085299,600,0.48,-119.56279454,0.002968847437296063,22.80144556928426,0.4422845575027168,0.0003,705.9981508661446,2577.502501624842,0.17864131413050574,0.10467096516006821,0.8068153981281694,0.14586027074825772,0.1217759637423326,0.8028982654744719,0.037182276825858264,0.3820377186021027,False,2026-08-07T12:28:10.328957+00:00
185296,601,-146.333219,600,0.47,-114.01568805000001,0.002968847437296063,22.80144556928426,0.4422845575027168,0.0003,4276.111964724491,424.3817783468448,0.1748576740010434,0.09308108932568483,0.8071349761534649,0.18325858952609742,0.12346576302936706,0.8033839222071542,0.031747034246468825,0.3841704744022349,False,2026-08-07T12:28:11.500133+00:00
