global_step,episode_num,episode_reward,episode_length,success_rate,avg_reward_100,policy_loss,value_loss,entropy,learning_rate,fps,eta_seconds,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,ee_to_cube_dist,cube_to_goal_dist,is_grasped,timestamp
5008,18,10.474561,22,0.5,-2.5962918333333334,,,,,3842.278973159385,519.2210180302397,0.14214378539211797,-0.1631982517947304,0.801949945798821,0.05643470484636506,-0.05700382376734458,0.792879341615137,0.1367683402411503,0.2278886085905542,False,2026-08-07T16:39:08.377965+00:00
10016,34,22.121729,23,0.35294117647058826,-166.07731429411766,-0.00308553133654641,77.87172930836678,5.660594621300698,0.0003,1861.6086893789507,1068.9593421826348,0.14478525812679333,-0.2609931879165749,0.8023473349221681,0.05643470625818697,-0.057003825812666276,0.792879341615137,0.22250196125946584,0.22788860612703382,False,2026-08-07T16:39:11.068089+00:00
15024,63,-23.296294,16,0.31746031746031744,-136.00567947619052,-0.00308553133654641,77.87172930836678,5.660594621300698,0.0003,4775.671429513341,415.6433350361955,-0.08457938103621668,-0.25944059477186376,0.7102954627114276,0.17787040901417703,-0.0779470658028011,0.8029079639137556,0.3322602424818397,0.18292791577051226,False,2026-08-07T16:39:12.116752+00:00
20032,73,-9.793512,14,0.273972602739726,-178.6289545890411,-0.0016561635777179618,88.81688832044601,5.654905267059803,0.0003,2030.4453036416035,975.1397865526974,-0.2435219065179709,-0.19571779637438055,0.9397226808753056,0.17787040658536324,-0.07794706534132018,0.8029079639137556,0.45843177617602915,0.18292791599251257,False,2026-08-07T16:39:14.583196+00:00
25040,94,16.247136,31,0.2872340425531915,-183.99330711702123,-0.0038639165286440402,65.65118314623832,5.661905686557293,0.0003,1964.6137358608873,1005.266309580483,0.17390132550471604,-0.2617100879887807,0.8037805239851894,0.2565956624637116,-0.1796659291632085,0.7928886236799615,0.11699671300828345,0.1256355242119598,False,2026-08-07T16:39:17.132290+00:00
30048,104,-275.745816,600,0.26,-210.56688844000004,-0.0038639165286440402,65.65118314623832,5.661905686557293,0.0003,4768.3341131838015,413.1321239745655,0.17605333859720873,-0.22116875203994757,0.8016903401079771,0.25659566002926937,-0.17966592873535267,0.7928886236799615,0.09103307144108125,0.12563552261380387,False,2026-08-07T16:39:18.182582+00:00
35056,122,30.888336,26,0.25,-225.49456080000004,-0.0032891235561692154,52.56282089352608,5.646462291479111,0.0003,1885.1603033046595,1042.321969413148,0.23887856427066095,-0.12132523037568668,0.7950509690762887,0.32891168350298805,-0.26774233537934594,0.7928772270179463,0.17189722612913572,0.16908903152168053,False,2026-08-07T16:39:20.839076+00:00
40064,138,-10.778157,13,0.24,-235.07742786999995,-0.0032891235561692154,52.56282089352608,5.646462291479111,0.0003,4356.109820447202,449.92805066580974,0.24091513761769803,-0.11678559923335766,0.795886705486254,0.32891168479860344,-0.26774233748868254,0.7928772270179463,0.1747580787863588,0.16908903291252045,False,2026-08-07T16:39:21.988752+00:00
45072,159,-21.134259,12,0.23,-238.10624725999998,-0.0024838815981638616,54.39035036563873,5.630608062446117,0.0003,1845.6090810849946,1059.2318926230787,0.24433935635296422,-0.21391124636679587,0.8039232033131586,0.22699883974852936,-0.2429709249444526,0.7929708951892687,0.03556840576109686,0.06912911054611208,False,2026-08-07T16:39:24.702225+00:00
50080,173,-11.782755,16,0.24,-236.50916286000003,-0.0038516560671268962,29.13305184841156,5.626965042948723,0.0003,1866.5529498452202,1044.6636406225136,0.18848332327361852,-0.19838745665674531,0.832159156050438,0.08094576463120838,-0.12523084751241773,0.8505254459027889,0.13135271821780575,0.15624434899210118,False,2026-08-07T16:39:27.385238+00:00
55088,209,19.234397,24,0.3,-173.13667869,-0.0038516560671268962,29.13305184841156,5.626965042948723,0.0003,4755.809557275435,408.95497949968893,0.08158888544607643,-0.20904847813094485,0.7950885816677513,0.16357629952176136,-0.017407486259989852,0.8028967213242878,0.20858852527643323,0.24261887321675196,False,2026-08-07T16:39:28.438276+00:00
60096,222,-392.390279,600,0.26,-185.02895055999997,-0.0033453914322308263,72.03955943584442,5.60907015800476,0.0003,2035.3884464764988,953.0878508022419,-0.16218468980602685,-0.16803322994754993,0.8767621666780661,0.16357630189789357,-0.017407485539388205,0.8028967213242878,0.3664211274090873,0.2426188739723005,False,2026-08-07T16:39:30.898734+00:00
65104,246,-462.679436,600,0.26,-176.07043893000002,-0.0033453914322308263,72.03955943584442,5.60907015800476,0.0003,4355.7105603781665,444.2205176810487,0.16959917628904847,-0.23178450804295395,0.8013326862572823,0.11693371418831716,-0.12011746072278558,0.8332932579634363,0.12753297024406082,0.146361981977066,False,2026-08-07T16:39:32.048494+00:00
70112,262,-11.189566,13,0.28,-175.08270773,-0.0028964462555450153,33.962179750204086,5.588353228569031,0.0003,1881.1907059388277,1025.886420716112,0.17928584303029285,-0.17682794005989091,0.7999259319435006,0.11657137424321108,-0.12000088486100255,0.8332354455632889,0.09095021987554631,0.14658034579992468,False,2026-08-07T16:39:34.710634+00:00
