global_step,episode_num,episode_reward,episode_length,success_rate,avg_reward_100,policy_loss,value_loss,entropy,learning_rate,fps,eta_seconds,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,ee_to_cube_dist,cube_to_goal_dist,is_grasped,timestamp
5008,99,35.786014,22,0.9797979797979798,30.103656040404044,,,,,3427.4464027115323,582.06366069553,0.14311339739430384,-0.022255351522945714,0.8005881851035572,0.17787040923703423,-0.07794706585154756,0.8029079639137556,0.06568864658997431,0.18292791574377007,False,2026-08-07T16:22:07.987075+00:00
10016,148,-149.389318,600,0.93,17.2167823,-0.004593248148376005,13.321914803516119,2.364658010005951,0.0003,630.3026609930725,3157.1880037198052,0.14294317806142592,-0.026755920144559343,0.8008653073796259,0.17787040679933194,-0.07794706539730577,0.8029079639137556,0.062004976456041125,0.18292791595769758,False,2026-08-07T16:22:15.932449+00:00
15024,208,-314.731414,600,0.85,-5.397339070000002,-0.004593248148376005,13.321914803516119,2.364658010005951,0.0003,4505.096270381172,440.606788594121,0.14189113101549858,-0.23156418091704647,0.8006699729847081,0.14376440268349353,-0.16322103847007974,0.8028683667679872,0.06840414608409975,0.09813135082649958,False,2026-08-07T16:22:17.044101+00:00
20032,245,-756.789028,600,0.85,-6.950936730000002,0.003063530963845551,2.3211404689820485,2.3774459602311255,0.0003,639.7012583477597,3095.144763532157,0.1767121088434,0.10020969376579164,0.8066785276649752,0.18750311843648712,0.1249334176479285,0.828630488813596,0.03477926118980681,0.385914702422499,False,2026-08-07T16:22:24.872731+00:00
25040,323,-247.947233,600,0.86,-7.527062560000001,0.002958605021558469,4.952147590194363,2.387990924343467,0.0003,638.2303205089854,3094.431487405643,0.1781164750141867,0.10300416840011466,0.8068179079310435,0.18780500603130285,0.12633225433959236,0.8299912860127808,0.03427933311178069,0.3873315493263004,False,2026-08-07T16:22:32.719424+00:00
30048,369,35.689486,23,0.89,6.5148304900000005,0.002958605021558469,4.952147590194363,2.387990924343467,0.0003,4551.638525989428,432.8006252587413,0.1777993313343844,0.10193716110743473,0.8067836871482406,0.18212778887087197,0.0549762481762015,0.8028935008317156,0.04732014832560568,0.3157525549468602,False,2026-08-07T16:22:33.819697+00:00
35056,435,35.711718,23,0.84,-5.36395257,-0.001754471255117096,8.804144846950658,2.4010886710137127,0.0003,639.6825757996803,3071.748511429412,0.17832472505162442,0.10369057887250566,0.8068367191084489,0.18216475236699203,0.0549715275871286,0.8028935008317156,0.049028978556644766,0.3157504385397737,False,2026-08-07T16:22:41.648580+00:00
40064,493,-142.106694,600,0.84,-2.85830539,-0.001754471255117096,8.804144846950658,2.4010886710137127,0.0003,3944.0601560456566,496.93359696750827,0.17826473314197175,0.10306049670695584,0.8067554582990705,0.18757214817642026,0.12654216734583823,0.8300045351007235,0.03432981798299532,0.3875242837442326,False,2026-08-07T16:22:42.918343+00:00
45072,537,-147.736388,600,0.85,-0.7848354999999995,0.0008891975954611553,2.712543553696014,2.395880940929055,0.0003,652.5422833630205,2995.864099296137,0.17818990679985264,0.10313300453588589,0.8067919398037537,0.1878777120741582,0.12624511795333382,0.8300092343453617,0.034162349501836324,0.38724986503971104,False,2026-08-07T16:22:50.592951+00:00
50080,581,35.068054,24,0.81,-7.737152859999997,0.0016940985777182504,2.3953287802956766,2.408801367692649,0.0003,640.728449142188,3043.286126299788,0.17689151042895276,0.09979308633248467,0.8066703600603128,0.18833313264174054,0.12838420326298647,0.8035208744210556,0.030956129376678743,0.38941630134024857,False,2026-08-07T16:22:58.409036+00:00
